name,Jaar,Jonger dan 5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder
Kollumerland en Nieuwkruisland,2017,701,749,830,806,735,2892,3742,1877,540
Korendijk,2017,576,598,717,699,572,2228,3342,1730,497
Krimpen aan den IJssel,2017,1563,1656,1935,1880,1545,5949,7808,4986,1801
Krimpenerwaard,2017,2823,3118,3462,3722,3261,11918,15754,8543,2603
Laarbeek,2017,959,1199,1339,1352,1100,4690,6662,3632,1009
Landerd,2017,738,810,945,1060,834,3078,4754,2423,690
Landgraaf,2017,1433,1606,1757,1968,1719,7794,12404,6761,2016
Landsmeer,2017,611,633,655,699,523,2392,3488,1746,528
Langedijk,2017,1408,1530,1877,1876,1474,6025,8208,4190,1020
Lansingerland,2017,4091,4624,4435,3959,2706,14828,16793,6704,1965
Laren,2017,455,601,710,629,327,1677,3273,2321,1095
Leek,2017,916,1115,1232,1294,892,4073,5943,3164,1014
Leerdam,2017,1113,1165,1341,1392,1163,4969,5707,3038,1017
Leeuwarden,2017,5515,5581,5473,6656,10257,28500,28020,13836,4829
Leeuwarderadeel,2017,437,538,606,648,500,2004,3141,1742,492
Leiden,2017,5847,5548,5464,7106,15276,36345,30302,13598,4175
Leiderdorp,2017,1381,1497,1576,1734,1371,5639,8052,4384,1494
Leidschendam-Voorburg,2017,4098,4087,3947,3739,3283,17916,20725,12074,4735
Lelystad,2017,4358,5022,5068,4747,4048,19873,21330,10517,1974
Leudal,2017,1360,1586,1970,2243,1844,7132,11615,6175,1953
Leusden,2017,1486,1726,1893,1892,1364,6144,9235,4604,1333
Lingewaal,2017,558,634,738,725,585,2393,3440,1653,432
Lingewaard,2017,2119,2688,3041,2974,2074,9905,14302,7188,1891
Lisse,2017,1088,1210,1329,1373,1146,5053,6666,3655,1197
Littenseradiel,2017,550,643,753,750,529,2206,3310,1572,433
Lochem,2017,1327,1589,2047,2096,1273,5790,10479,6570,2374
